ID,Location  (Departments)
ERR5243654,Cauca
ERR5243657,Antioquia
ERR5243684,Putumayo
ERR5243652,Risaralda
ERR5243699,Norte de Santander
ERR5243697,Nariño
ERR5243694,Casanare
ERR5243671,Meta
ERR5243645,Huila
ERR5243663,Putumayo
ERR5243704,Tolima
ERR5243653,Huila
ERR5243660,Risaralda
ERR5243666,Huila
ERR5243665,Valle del Cauca
ERR5243670,Boyacá
ERR5243655,Antioquia
ERR5243688,Caldas
ERR5243673,Cundinamarca
ERR5243677,Magdalena
ERR5243641,Norte de Santander
ERR5243679,Caldas
ERR5243703,Norte de Santander
ERR5243690,Huila
ERR5243659,Bolívar
ERR5243647,Meta
ERR5243664,Meta
ERR5243678,Norte de Santander
ERR5243714,Antioquia
ERR5243648,Nariño
ERR5243705,Huila
ERR5243702,Huila
ERR5243713,Casanare
ERR5243650,Bogotá
ERR5243685,Cesar
ERR5243682,Norte de Santander
ERR5243707,Meta
ERR5243691,Atlántico
ERR5243717,Putumayo
ERR5243642,Valle del Cauca
ERR5243681,Antioquia
ERR5243693,Huila
ERR5243706,Huila
ERR5243662,Sucre
ERR5243674,Bogotá
ERR5243675,Bolívar
ERR5243712,Boyacá
ERR5243696,Antioquia
ERR5243700,Valle del Cauca
ERR5243644,Antioquia
ERR5243649,Antioquia
ERR5243692,Cauca
ERR5243658,Meta
ERR5243695,Meta
ERR5243680,Meta
ERR5243651,Meta
ERR5243672,Meta
ERR5243715,Bogotá
ERR5243711,Huila
ERR5243710,Caquetá
ERR5243701,Sucre
ERR5243667,Norte de Santander
ERR5243669,Huila
ERR5243709,Bogotá
ERR5243646,Atlántico
ERR5243687,Norte de Santander
ERR5243716,Norte de Santander
ERR5243661,Valle del Cauca
ERR5243686,Bogotá
ERR5243668,Santander
ERR5243676,Norte de Santander
ERR5243683,Bolívar
ERR5243689,Atlántico
ERR5243708,Antioquia
ERR5243698,Norte de Santander
ERR5243656,Antioquia
ERR5243643,Norte de Santander
