study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	nominal_length	read_count	base_count	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_title
PRJEB42858	SAMEA7993255	ERS5680526	ERX5046702	ERR5243641	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1003374	238034536	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243641/ERR5243641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/001/ERR5243641/ERR5243641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/001/ERR5243641.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243641/COL_INS_S_Ty980_524_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243641/COL_INS_S_Ty980_524_15_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993256	ERS5680527	ERX5046703	ERR5243642	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	862344	204272780	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243642/ERR5243642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/002/ERR5243642/ERR5243642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/002/ERR5243642.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243642/COL_INS_GMR_S_67_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243642/COL_INS_GMR_S_67_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993257	ERS5680528	ERX5046704	ERR5243643	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	874502	200736719	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243643/ERR5243643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/003/ERR5243643/ERR5243643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/003/ERR5243643.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243643/COL_INS_S_Ty772_314_14_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243643/COL_INS_S_Ty772_314_14_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993258	ERS5680529	ERX5046705	ERR5243644	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1367734	250841203	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243644/ERR5243644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/004/ERR5243644/ERR5243644_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/004/ERR5243644.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243644/COL_INS_S_Ty0253_397_07_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243644/COL_INS_S_Ty0253_397_07_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993259	ERS5680530	ERX5046706	ERR5243645	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	792220	184477777	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243645/ERR5243645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/005/ERR5243645/ERR5243645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/005/ERR5243645.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243645/COL_INS_GMR_S_432_18_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243645/COL_INS_GMR_S_432_18_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993260	ERS5680531	ERX5046707	ERR5243646	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1270396	288879571	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243646/ERR5243646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/006/ERR5243646/ERR5243646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/006/ERR5243646.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243646/COL_INS_S_Ty553_66_12_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243646/COL_INS_S_Ty553_66_12_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993261	ERS5680532	ERX5046708	ERR5243647	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	865140	206668218	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243647/ERR5243647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/007/ERR5243647/ERR5243647_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/007/ERR5243647.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243647/COL_INS_S_Ty1335_1081_15_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243647/COL_INS_S_Ty1335_1081_15_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993262	ERS5680533	ERX5046709	ERR5243648	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	859860	203752764	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243648/ERR5243648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/008/ERR5243648/ERR5243648_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/008/ERR5243648.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243648/COL_INS_GMR_S_657_16_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243648/COL_INS_GMR_S_657_16_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993263	ERS5680534	ERX5046710	ERR5243649	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1253822	219295867	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243649/ERR5243649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/009/ERR5243649/ERR5243649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/009/ERR5243649.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243649/COL_INS_S_Ty0194_74_06_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243649/COL_INS_S_Ty0194_74_06_2.fastq.gz		Colombia
PRJEB42858	SAMEA7993264	ERS5680535	ERX5046711	ERR5243650	90370	Salmonella enterica subsp. enterica serovar Typhi	ILLUMINA	Illumina MiSeq	100	1041036	246128374	ena-RUN-UNIVERSITY OF CAMBRDGE-04-02-2021-11:06:34:571-10	ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243650/ERR5243650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR524/000/ERR5243650/ERR5243650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR524/000/ERR5243650.bai;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243650/COL_INS_GMR_S_114_17_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR524/ERR5243650/COL_INS_GMR_S_114_17_2.fastq.gz		Colombia
